Time, x, y, z
1, 5, 9, 12
27, 38, 52,18
47,59, 69, 24
70,32, 37, 33
200,32, 37, 33
300,32, 37, 33
10,32, 37, 33
30,32, 37, 33
40,32, 37, 33
5,-10,2,2
5,-9,2,2
5,-8,3,3
5,-7,3,3
5,-6,3,2
5,-6,3,1
5,-5,4,1
5,-5,2,2
5,-4,2,2
5,-3,4,2
5,-1,1,1
27, 38, 52,18
47,59, 69, 24
70,32, 37, 33
200,32, 37, 33
300,32, 37, 33
10,32, 37, 60
30,32, 37, 60
40,32, 37, 60
27, 38, 52,18
47,59, 69, 24
70,32, 37, 33
10,32, 370, 33
30,32, 370, 33
10,32, 370, 33
30,32, 370, 33
40,32, 370, 33
20,32, 370, 33
30,132, 370, 33
10,132, 370, 33
30,132, 370, 33
40,132, 370, 33
